epc,batch_id,seq_in_batch,seen_at_iso
E28069150000402097702D75,1,1,2026-02-03T01:34:03.602985+00:00
E2806915000040209770A576,1,2,2026-02-03T01:34:03.602985+00:00
E28069150000402097746577,1,3,2026-02-03T01:34:03.602985+00:00
E280691500004020977810D6,1,4,2026-02-03T01:34:03.602985+00:00
E28069150000402097787943,1,5,2026-02-03T01:34:03.602985+00:00
E28069150000402097799D95,1,6,2026-02-03T01:34:03.602985+00:00
E2806915000040209779ED75,1,7,2026-02-03T01:34:03.602985+00:00
E28069150000502097703D3B,1,8,2026-02-03T01:34:03.602985+00:00
E2806915000050209770B56E,1,9,2026-02-03T01:34:03.602985+00:00
E2806915000050209770C19B,1,10,2026-02-03T01:34:03.602985+00:00
E28069150000502097717574,1,11,2026-02-03T01:34:03.602985+00:00
E28069150000502097723575,1,12,2026-02-03T01:34:03.602985+00:00
E2806915000050209773F988,1,13,2026-02-03T01:34:03.602985+00:00
E280691500005020977561F2,1,14,2026-02-03T01:34:03.602985+00:00
E28069150000502097770A46,1,15,2026-02-03T01:34:03.602985+00:00
E28069150000502097780570,1,16,2026-02-03T01:34:03.602985+00:00
E28069150000502097785970,1,17,2026-02-03T01:34:03.602985+00:00
E2806915000050209778BD94,1,18,2026-02-03T01:34:03.602985+00:00
E2806915000050209779813C,1,19,2026-02-03T01:34:03.602985+00:00
E2806915000050209779A91E,1,20,2026-02-03T01:34:03.602985+00:00
E2806915000040209770456C,2,1,2026-02-03T01:34:57.855782+00:00
E2806915000040209771957D,2,2,2026-02-03T01:34:57.855782+00:00
E2806915000040209772CD54,2,3,2026-02-03T01:34:57.855782+00:00
E28069150000402097743D3D,2,4,2026-02-03T01:34:57.855782+00:00
E2806915000040209774E18B,2,5,2026-02-03T01:34:57.855782+00:00
E2806915000040209774FD7F,2,6,2026-02-03T01:34:57.855782+00:00
E28069150000402097752590,2,7,2026-02-03T01:34:57.855782+00:00
E2806915000040209775F973,2,8,2026-02-03T01:34:57.855782+00:00
E2806915000040209776063D,2,9,2026-02-03T01:34:57.855782+00:00
E2806915000040209776317D,2,10,2026-02-03T01:34:57.855782+00:00
E28069150000402097793570,2,11,2026-02-03T01:34:57.855782+00:00
E28069150000502097707D8D,2,12,2026-02-03T01:34:57.855782+00:00
E2806915000050209771C575,2,13,2026-02-03T01:34:57.855782+00:00
E28069150000502097726938,2,14,2026-02-03T01:34:57.855782+00:00
E2806915000050209775B17D,2,15,2026-02-03T01:34:57.855782+00:00
E2806915000050209776816C,2,16,2026-02-03T01:34:57.855782+00:00
E2806915000050209776AD8A,2,17,2026-02-03T01:34:57.855782+00:00
E28069150000502097771595,2,18,2026-02-03T01:34:57.855782+00:00
E28069150000502097771D89,2,19,2026-02-03T01:34:57.855782+00:00
E2806915000050209779659C,2,20,2026-02-03T01:34:57.855782+00:00
E2806915000040209770216B,3,1,2026-02-03T01:36:31.914578+00:00
E2806915000040209772F517,3,2,2026-02-03T01:36:31.914578+00:00
E2806915000040209776A58A,3,3,2026-02-03T01:36:31.914578+00:00
E2806915000040209776F56B,3,4,2026-02-03T01:36:31.914578+00:00
E28069150000402097777DB1,3,5,2026-02-03T01:36:31.914578+00:00
E2806915000040209778CCC9,3,6,2026-02-03T01:36:31.914578+00:00
E2806915000040209779158D,3,7,2026-02-03T01:36:31.914578+00:00
E28069150000502097704597,3,8,2026-02-03T01:36:31.914578+00:00
E2806915000050209770E989,3,9,2026-02-03T01:36:31.914578+00:00
E28069150000502097711197,3,10,2026-02-03T01:36:31.914578+00:00
E2806915000050209771257D,3,11,2026-02-03T01:36:31.914578+00:00
E2806915000050209772EE5D,3,12,2026-02-03T01:36:31.914578+00:00
E2806915000050209773A99C,3,13,2026-02-03T01:36:31.914578+00:00
E28069150000502097740171,3,14,2026-02-03T01:36:31.914578+00:00
E2806915000050209774B9F3,3,15,2026-02-03T01:36:31.914578+00:00
E28069150000502097775177,3,16,2026-02-03T01:36:31.914578+00:00
E2806915000050209777657F,3,17,2026-02-03T01:36:31.914578+00:00
E28069150000502097776646,3,18,2026-02-03T01:36:31.914578+00:00
E28069150000502097780970,3,19,2026-02-03T01:36:31.914578+00:00
E2806915000050209779717E,3,20,2026-02-03T01:36:31.914578+00:00
E2806894000050316AB1B4E5,4,1,2026-02-03T01:38:23.134861+00:00
E28069150000402097702D3B,4,2,2026-02-03T01:38:23.134861+00:00
E28069150000402097704140,4,3,2026-02-03T01:38:23.134861+00:00
E2806915000040209770C598,4,4,2026-02-03T01:38:23.134861+00:00
E28069150000402097727DE4,4,5,2026-02-03T01:38:23.134861+00:00
E2806915000040209773017E,4,6,2026-02-03T01:38:23.134861+00:00
E2806915000040209773F171,4,7,2026-02-03T01:38:23.134861+00:00
E280691500004020977458DC,4,8,2026-02-03T01:38:23.134861+00:00
E2806915000040209774724D,4,9,2026-02-03T01:38:23.134861+00:00
E28069150000402097754D8A,4,10,2026-02-03T01:38:23.134861+00:00
E28069150000402097769D9C,4,11,2026-02-03T01:38:23.134861+00:00
E28069150000402097787CD6,4,12,2026-02-03T01:38:23.134861+00:00
E2806915000050209770793B,4,13,2026-02-03T01:38:23.134861+00:00
E2806915000050209770C542,4,14,2026-02-03T01:38:23.134861+00:00
E28069150000502097720940,4,15,2026-02-03T01:38:23.134861+00:00
E2806915000050209773F16B,4,16,2026-02-03T01:38:23.134861+00:00
E2806915000050209774518D,4,17,2026-02-03T01:38:23.134861+00:00
E28069150000502097758580,4,18,2026-02-03T01:38:23.134861+00:00
E28069150000502097761247,4,19,2026-02-03T01:38:23.134861+00:00
E2806915000050209776B98A,4,20,2026-02-03T01:38:23.134861+00:00
E2806915000040209770B1BC,5,1,2026-02-03T01:40:16.303336+00:00
E2806915000040209771357B,5,2,2026-02-03T01:40:16.303336+00:00
E2806915000040209771AE0B,5,3,2026-02-03T01:40:16.303336+00:00
E28069150000402097732E2A,5,4,2026-02-03T01:40:16.303336+00:00
E2806915000040209773397F,5,5,2026-02-03T01:40:16.303336+00:00
E2806915000040209775593D,5,6,2026-02-03T01:40:16.303336+00:00
E2806915000040209775CD8B,5,7,2026-02-03T01:40:16.303336+00:00
E2806915000040209779598A,5,8,2026-02-03T01:40:16.303336+00:00
E28069150000502097704195,5,9,2026-02-03T01:40:16.303336+00:00
E2806915000050209770957B,5,10,2026-02-03T01:40:16.303336+00:00
E2806915000050209771A561,5,11,2026-02-03T01:40:16.303336+00:00
E2806915000050209772D574,5,12,2026-02-03T01:40:16.303336+00:00
E28069150000502097739E5D,5,13,2026-02-03T01:40:16.303336+00:00
E2806915000050209773C582,5,14,2026-02-03T01:40:16.303336+00:00
E280691500005020977466A1,5,15,2026-02-03T01:40:16.303336+00:00
E28069150000502097760245,5,16,2026-02-03T01:40:16.303336+00:00
E2806915000050209776B8ED,5,17,2026-02-03T01:40:16.303336+00:00
E2806915000050209777B995,5,18,2026-02-03T01:40:16.303336+00:00
E280691500005020977884D6,5,19,2026-02-03T01:40:16.303336+00:00
